Station ID,Date,Time,Temperature
Armavir,06/01/2022,00:00:00,290.75
Armavir,06/01/2022,09:00:00,302.35
Armavir,06/01/2022,12:00:00,304.95
Armavir,06/02/2022,00:00:00,289.15
Armavir,06/02/2022,09:00:00,302.35
Armavir,06/02/2022,12:00:00,304.35
Armavir,06/03/2022,00:00:00,295.55
Armavir,06/03/2022,09:00:00,302.15
Armavir,06/03/2022,12:00:00,304.75
Armavir,06/04/2022,00:00:00,295.45
Armavir,06/04/2022,09:00:00,305.15
Armavir,06/04/2022,12:00:00,306.75
Armavir,06/05/2022,00:00:00,288.95
Armavir,06/05/2022,09:00:00,304.95
Armavir,06/05/2022,12:00:00,307.95
Armavir,06/06/2022,00:00:00,291.15
Armavir,06/06/2022,09:00:00,307.35
Armavir,06/06/2022,12:00:00,309.35
Armavir,06/07/2022,00:00:00,295.35
Armavir,06/07/2022,09:00:00,305.55
Armavir,06/07/2022,12:00:00,307.35
Armavir,06/08/2022,00:00:00,289.35
Armavir,06/08/2022,09:00:00,303.75
Armavir,06/08/2022,12:00:00,306.95
Armavir,06/09/2022,00:00:00,292.15
Armavir,06/09/2022,09:00:00,302.15
Armavir,06/09/2022,12:00:00,301.15
Armavir,06/10/2022,00:00:00,289.95
Armavir,06/10/2022,09:00:00,300.95
Armavir,06/10/2022,12:00:00,302.55
Armavir,06/11/2022,00:00:00,290.75
Armavir,06/11/2022,09:00:00,303.15
Armavir,06/11/2022,12:00:00,305.55
Armavir,06/12/2022,00:00:00,287.95
Armavir,06/12/2022,09:00:00,301.15
Armavir,06/12/2022,12:00:00,297.15
Armavir,06/13/2022,00:00:00,289.15
Armavir,06/13/2022,09:00:00,297.95
Armavir,06/13/2022,12:00:00,298.35
Armavir,06/14/2022,00:00:00,289.95
Armavir,06/14/2022,09:00:00,299.55
Armavir,06/14/2022,12:00:00,299.15
Armavir,06/15/2022,00:00:00,286.75
Armavir,06/15/2022,09:00:00,299.35
Armavir,06/15/2022,12:00:00,302.35
Armavir,06/16/2022,00:00:00,292.75
Armavir,06/16/2022,09:00:00,302.75
Armavir,06/16/2022,12:00:00,304.15
Armavir,06/17/2022,00:00:00,290.95
Armavir,06/17/2022,09:00:00,302.75
Armavir,06/17/2022,12:00:00,304.95
Armavir,06/18/2022,00:00:00,291.75
Armavir,06/18/2022,09:00:00,305.55
Armavir,06/18/2022,12:00:00,306.95
Armavir,06/19/2022,00:00:00,290.15
Armavir,06/19/2022,09:00:00,302.15
Armavir,06/19/2022,12:00:00,305.35
Armavir,06/20/2022,00:00:00,292.75
Armavir,06/20/2022,09:00:00,303.85
Armavir,06/20/2022,12:00:00,306.75
Armavir,06/21/2022,00:00:00,291.35
Armavir,06/21/2022,09:00:00,303.75
Armavir,06/21/2022,12:00:00,307.15
Armavir,06/22/2022,00:00:00,289.75
Armavir,06/22/2022,09:00:00,302.75
Armavir,06/22/2022,12:00:00,298.75
Armavir,06/23/2022,00:00:00,291.75
Armavir,06/23/2022,09:00:00,301.95
Armavir,06/23/2022,12:00:00,304.55
Armavir,06/24/2022,00:00:00,288.15
Armavir,06/24/2022,09:00:00,298.35
Armavir,06/24/2022,12:00:00,300.75
Armavir,06/25/2022,00:00:00,292.95
Armavir,06/25/2022,09:00:00,297.35
Armavir,06/25/2022,12:00:00,303.75
Armavir,06/26/2022,00:00:00,291.15
Armavir,06/26/2022,09:00:00,294.45
Armavir,06/26/2022,12:00:00,296.75
Armavir,06/27/2022,00:00:00,291.35
Armavir,06/27/2022,09:00:00,300.15
Armavir,06/27/2022,12:00:00,301.15
Armavir,06/28/2022,00:00:00,289.35
Armavir,06/28/2022,09:00:00,304.75
Armavir,06/28/2022,12:00:00,305.35
Armavir,06/29/2022,00:00:00,292.35
Armavir,06/29/2022,09:00:00,305.45
Armavir,06/29/2022,12:00:00,307.35
Armavir,06/30/2022,00:00:00,291.95
Armavir,06/30/2022,09:00:00,304.75
Armavir,06/30/2022,12:00:00,306.15
Armavir,07/01/2022,00:00:00,291.15
Armavir,07/01/2022,09:00:00,305.15
Armavir,07/01/2022,12:00:00,307.15
Armavir,07/02/2022,00:00:00,293.15
Armavir,07/02/2022,09:00:00,304.15
Armavir,07/02/2022,12:00:00,303.75
Armavir,07/03/2022,00:00:00,290.35
Armavir,07/03/2022,09:00:00,300.55
Armavir,07/03/2022,12:00:00,303.55
Armavir,07/04/2022,00:00:00,288.15
Armavir,07/04/2022,09:00:00,301.35
Armavir,07/04/2022,12:00:00,303.75
Armavir,07/05/2022,00:00:00,288.95
Armavir,07/05/2022,09:00:00,300.55
Armavir,07/05/2022,12:00:00,303.35
Armavir,07/06/2022,00:00:00,290.35
Armavir,07/06/2022,09:00:00,301.35
Armavir,07/06/2022,12:00:00,303.55
Armavir,07/07/2022,00:00:00,293.15
Armavir,07/07/2022,09:00:00,302.15
Armavir,07/07/2022,12:00:00,304.35
Armavir,07/08/2022,00:00:00,289.55
Armavir,07/08/2022,09:00:00,303.95
Armavir,07/08/2022,12:00:00,306.35
Armavir,07/09/2022,00:00:00,293.35
Armavir,07/09/2022,09:00:00,304.35
Armavir,07/09/2022,12:00:00,306.15
Armavir,07/10/2022,00:00:00,293.55
Armavir,07/10/2022,09:00:00,305.35
Armavir,07/10/2022,12:00:00,308.15
Armavir,07/11/2022,00:00:00,295.55
Armavir,07/11/2022,09:00:00,307.75
Armavir,07/11/2022,12:00:00,308.55
Armavir,07/12/2022,00:00:00,296.15
Armavir,07/12/2022,09:00:00,305.95
Armavir,07/12/2022,12:00:00,298.35
Armavir,07/13/2022,00:00:00,296.25
Armavir,07/13/2022,09:00:00,306.15
Armavir,07/13/2022,12:00:00,308.55
Armavir,07/14/2022,00:00:00,294.15
Armavir,07/14/2022,09:00:00,306.55
Armavir,07/14/2022,12:00:00,309.15
Armavir,07/15/2022,00:00:00,291.55
Armavir,07/15/2022,09:00:00,306.65
Armavir,07/15/2022,12:00:00,309.35
Armavir,07/16/2022,00:00:00,295.85
Armavir,07/16/2022,09:00:00,306.35
Armavir,07/16/2022,12:00:00,310.35
Armavir,07/17/2022,00:00:00,297.35
Armavir,07/17/2022,09:00:00,308.15
Armavir,07/17/2022,12:00:00,312.15
Armavir,07/18/2022,00:00:00,299.15
